Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Sat Dec 23 2017,Philadelphia 76ers,86,Toronto Raptors,102,H,Toronto Raptors,Philadelphia 76ers
Sat Dec 23 2017,Oklahoma City Thunder,103,Utah Jazz,89,V,Oklahoma City Thunder,Utah Jazz
Sat Dec 23 2017,Orlando Magic,103,Washington Wizards,130,H,Washington Wizards,Orlando Magic
Mon Dec 25 2017,Washington Wizards,111,Boston Celtics,103,V,Washington Wizards,Boston Celtics
Mon Dec 25 2017,Cleveland Cavaliers,92,Golden State Warriors,99,H,Golden State Warriors,Cleveland Cavaliers
Mon Dec 25 2017,Minnesota Timberwolves,121,Los Angeles Lakers,104,V,Minnesota Timberwolves,Los Angeles Lakers
Mon Dec 25 2017,Philadelphia 76ers,105,New York Knicks,98,V,Philadelphia 76ers,New York Knicks
Mon Dec 25 2017,Houston Rockets,107,Oklahoma City Thunder,112,H,Oklahoma City Thunder,Houston Rockets
Tue Dec 26 2017,Toronto Raptors,93,Dallas Mavericks,98,H,Dallas Mavericks,Toronto Raptors
Tue Dec 26 2017,Utah Jazz,83,Denver Nuggets,107,H,Denver Nuggets,Utah Jazz
Tue Dec 26 2017,Indiana Pacers,83,Detroit Pistons,107,H,Detroit Pistons,Indiana Pacers
Tue Dec 26 2017,Sacramento Kings,95,Los Angeles Clippers,122,H,Los Angeles Clippers,Sacramento Kings
Tue Dec 26 2017,Orlando Magic,89,Miami Heat,107,H,Miami Heat,Orlando Magic
Tue Dec 26 2017,Chicago Bulls,115,Milwaukee Bucks,106,V,Chicago Bulls,Milwaukee Bucks
Tue Dec 26 2017,Memphis Grizzlies,97,Phoenix Suns,99,H,Phoenix Suns,Memphis Grizzlies
Tue Dec 26 2017,Brooklyn Nets,97,San Antonio Spurs,109,H,San Antonio Spurs,Brooklyn Nets
Wed Dec 27 2017,Washington Wizards,99,Atlanta Hawks,113,H,Atlanta Hawks,Washington Wizards
Wed Dec 27 2017,New York Knicks,87,Chicago Bulls,92,H,Chicago Bulls,New York Knicks
Wed Dec 27 2017,Boston Celtics,102,Charlotte Hornets,91,V,Boston Celtics,Charlotte Hornets
Wed Dec 27 2017,Utah Jazz,101,Golden State Warriors,126,H,Golden State Warriors,Utah Jazz
Wed Dec 27 2017,Dallas Mavericks,98,Indiana Pacers,94,V,Dallas Mavericks,Indiana Pacers
Wed Dec 27 2017,Memphis Grizzlies,109,Los Angeles Lakers,99,V,Memphis Grizzlies,Los Angeles Lakers
Wed Dec 27 2017,Denver Nuggets,125,Minnesota Timberwolves,128,H,Minnesota Timberwolves,Denver Nuggets
Wed Dec 27 2017,Brooklyn Nets,113,New Orleans Pelicans,128,H,New Orleans Pelicans,Brooklyn Nets
Wed Dec 27 2017,Toronto Raptors,107,Oklahoma City Thunder,124,H,Oklahoma City Thunder,Toronto Raptors
Wed Dec 27 2017,Cleveland Cavaliers,95,Sacramento Kings,109,H,Sacramento Kings,Cleveland Cavaliers
Thu Dec 28 2017,Houston Rockets,98,Boston Celtics,99,H,Boston Celtics,Houston Rockets
Thu Dec 28 2017,Minnesota Timberwolves,96,Milwaukee Bucks,102,H,Milwaukee Bucks,Minnesota Timberwolves
Thu Dec 28 2017,Detroit Pistons,89,Orlando Magic,102,H,Orlando Magic,Detroit Pistons
Thu Dec 28 2017,Philadelphia 76ers,110,Portland Trail Blazers,114,H,Portland Trail Blazers,Philadelphia 76ers
Thu Dec 28 2017,New York Knicks,107,San Antonio Spurs,119,H,San Antonio Spurs,New York Knicks
Fri Dec 29 2017,Indiana Pacers,107,Chicago Bulls,119,H,Chicago Bulls,Indiana Pacers
Fri Dec 29 2017,Charlotte Hornets,111,Golden State Warriors,100,V,Charlotte Hornets,Golden State Warriors
Fri Dec 29 2017,Los Angeles Clippers,121,Los Angeles Lakers,106,V,Los Angeles Clippers,Los Angeles Lakers
Fri Dec 29 2017,Brooklyn Nets,111,Miami Heat,87,V,Brooklyn Nets,Miami Heat
Fri Dec 29 2017,Dallas Mavericks,128,New Orleans Pelicans,120,V,Dallas Mavericks,New Orleans Pelicans
Fri Dec 29 2017,Milwaukee Bucks,97,Oklahoma City Thunder,95,V,Milwaukee Bucks,Oklahoma City Thunder
Fri Dec 29 2017,Phoenix Suns,111,Sacramento Kings,101,V,Phoenix Suns,Sacramento Kings
Fri Dec 29 2017,Atlanta Hawks,98,Toronto Raptors,111,H,Toronto Raptors,Atlanta Hawks
Fri Dec 29 2017,Houston Rockets,103,Washington Wizards,121,H,Washington Wizards,Houston Rockets
Sat Dec 30 2017,Portland Trail Blazers,89,Atlanta Hawks,104,H,Atlanta Hawks,Portland Trail Blazers
Sat Dec 30 2017,Philadelphia 76ers,107,Denver Nuggets,102,V,Philadelphia 76ers,Denver Nuggets
Sat Dec 30 2017,San Antonio Spurs,79,Detroit Pistons,93,H,Detroit Pistons,San Antonio Spurs
Sat Dec 30 2017,Memphis Grizzlies,128,Golden State Warriors,141,H,Golden State Warriors,Memphis Grizzlies
Sat Dec 30 2017,New York Knicks,105,New Orleans Pelicans,103,V,New York Knicks,New Orleans Pelicans
Sat Dec 30 2017,Miami Heat,117,Orlando Magic,111,V,Miami Heat,Orlando Magic
Sat Dec 30 2017,Cleveland Cavaliers,101,Utah Jazz,104,H,Utah Jazz,Cleveland Cavaliers
Sun Dec 31 2017,Brooklyn Nets,105,Boston Celtics,108,H,Boston Celtics,Brooklyn Nets
Sun Dec 31 2017,Los Angeles Lakers,142,Houston Rockets,148,H,Houston Rockets,Los Angeles Lakers
Sun Dec 31 2017,Minnesota Timberwolves,107,Indiana Pacers,90,V,Minnesota Timberwolves,Indiana Pacers
Sun Dec 31 2017,Charlotte Hornets,98,Los Angeles Clippers,106,H,Los Angeles Clippers,Charlotte Hornets
Sun Dec 31 2017,Dallas Mavericks,116,Oklahoma City Thunder,113,V,Dallas Mavericks,Oklahoma City Thunder
Sun Dec 31 2017,Philadelphia 76ers,123,Phoenix Suns,110,V,Philadelphia 76ers,Phoenix Suns
Sun Dec 31 2017,Memphis Grizzlies,114,Sacramento Kings,96,V,Memphis Grizzlies,Sacramento Kings
Sun Dec 31 2017,Chicago Bulls,110,Washington Wizards,114,H,Washington Wizards,Chicago Bulls
Mon Jan 1 2018,Orlando Magic,95,Brooklyn Nets,98,H,Brooklyn Nets,Orlando Magic
Mon Jan 1 2018,Portland Trail Blazers,124,Chicago Bulls,120,V,Portland Trail Blazers,Chicago Bulls
Mon Jan 1 2018,Los Angeles Lakers,96,Minnesota Timberwolves,114,H,Minnesota Timberwolves,Los Angeles Lakers
Mon Jan 1 2018,Milwaukee Bucks,127,Toronto Raptors,131,H,Toronto Raptors,Milwaukee Bucks
Tue Jan 2 2018,Portland Trail Blazers,110,Cleveland Cavaliers,127,H,Cleveland Cavaliers,Portland Trail Blazers
Tue Jan 2 2018,Memphis Grizzlies,105,Los Angeles Clippers,113,H,Los Angeles Clippers,Memphis Grizzlies
Tue Jan 2 2018,San Antonio Spurs,100,New York Knicks,91,V,San Antonio Spurs,New York Knicks
Tue Jan 2 2018,Atlanta Hawks,103,Phoenix Suns,104,H,Phoenix Suns,Atlanta Hawks
Tue Jan 2 2018,Charlotte Hornets,131,Sacramento Kings,111,V,Charlotte Hornets,Sacramento Kings
Wed Jan 3 2018,Cleveland Cavaliers,88,Boston Celtics,102,H,Boston Celtics,Cleveland Cavaliers
Wed Jan 3 2018,Minnesota Timberwolves,97,Brooklyn Nets,98,H,Brooklyn Nets,Minnesota Timberwolves
Wed Jan 3 2018,Toronto Raptors,124,Chicago Bulls,115,V,Toronto Raptors,Chicago Bulls
Wed Jan 3 2018,Golden State Warriors,125,Dallas Mavericks,122,V,Golden State Warriors,Dallas Mavericks
Wed Jan 3 2018,Phoenix Suns,111,Denver Nuggets,134,H,Denver Nuggets,Phoenix Suns
Wed Jan 3 2018,Oklahoma City Thunder,133,Los Angeles Lakers,96,V,Oklahoma City Thunder,Los Angeles Lakers
Wed Jan 3 2018,Detroit Pistons,104,Miami Heat,111,H,Miami Heat,Detroit Pistons
Wed Jan 3 2018,Indiana Pacers,101,Milwaukee Bucks,122,H,Milwaukee Bucks,Indiana Pacers
Wed Jan 3 2018,Houston Rockets,116,Orlando Magic,98,V,Houston Rockets,Orlando Magic
Wed Jan 3 2018,San Antonio Spurs,106,Philadelphia 76ers,112,H,Philadelphia 76ers,San Antonio Spurs
Wed Jan 3 2018,New Orleans Pelicans,108,Utah Jazz,98,V,New Orleans Pelicans,Utah Jazz
Wed Jan 3 2018,New York Knicks,103,Washington Wizards,121,H,Washington Wizards,New York Knicks
Thu Jan 4 2018,Golden State Warriors,124,Houston Rockets,114,V,Golden State Warriors,Houston Rockets
Thu Jan 4 2018,Oklahoma City Thunder,127,Los Angeles Clippers,117,V,Oklahoma City Thunder,Los Angeles Clippers
Fri Jan 5 2018,Minnesota Timberwolves,84,Boston Celtics,91,H,Boston Celtics,Minnesota Timberwolves
Fri Jan 5 2018,Chicago Bulls,127,Dallas Mavericks,124,V,Chicago Bulls,Dallas Mavericks
Fri Jan 5 2018,Utah Jazz,91,Denver Nuggets,99,H,Denver Nuggets,Utah Jazz
Fri Jan 5 2018,Charlotte Hornets,108,Los Angeles Lakers,94,V,Charlotte Hornets,Los Angeles Lakers
Fri Jan 5 2018,Washington Wizards,102,Memphis Grizzlies,100,V,Washington Wizards,Memphis Grizzlies
Fri Jan 5 2018,New York Knicks,103,Miami Heat,107,H,Miami Heat,New York Knicks
Fri Jan 5 2018,Toronto Raptors,129,Milwaukee Bucks,110,V,Toronto Raptors,Milwaukee Bucks
Fri Jan 5 2018,Detroit Pistons,78,Philadelphia 76ers,114,H,Philadelphia 76ers,Detroit Pistons
Fri Jan 5 2018,Atlanta Hawks,89,Portland Trail Blazers,110,H,Portland Trail Blazers,Atlanta Hawks
Fri Jan 5 2018,Phoenix Suns,89,San Antonio Spurs,103,H,San Antonio Spurs,Phoenix Suns
Sat Jan 6 2018,Boston Celtics,87,Brooklyn Nets,85,V,Boston Celtics,Brooklyn Nets
Sat Jan 6 2018,Houston Rockets,101,Detroit Pistons,108,H,Detroit Pistons,Houston Rockets
Sat Jan 6 2018,Chicago Bulls,86,Indiana Pacers,125,H,Indiana Pacers,Chicago Bulls
Sat Jan 6 2018,Golden State Warriors,121,Los Angeles Clippers,105,V,Golden State Warriors,Los Angeles Clippers
Sat Jan 6 2018,New Orleans Pelicans,98,Minnesota Timberwolves,116,H,Minnesota Timberwolves,New Orleans Pelicans
Sat Jan 6 2018,Cleveland Cavaliers,131,Orlando Magic,127,V,Cleveland Cavaliers,Orlando Magic
Sat Jan 6 2018,Denver Nuggets,98,Sacramento Kings,106,H,Sacramento Kings,Denver Nuggets
Sat Jan 6 2018,Milwaukee Bucks,110,Washington Wizards,103,V,Milwaukee Bucks,Washington Wizards
Sun Jan 7 2018,New York Knicks,100,Dallas Mavericks,96,V,New York Knicks,Dallas Mavericks
Sun Jan 7 2018,Atlanta Hawks,113,Los Angeles Lakers,132,H,Los Angeles Lakers,Atlanta Hawks
Sun Jan 7 2018,Utah Jazz,102,Miami Heat,103,H,Miami Heat,Utah Jazz
Sun Jan 7 2018,Oklahoma City Thunder,100,Phoenix Suns,114,H,Phoenix Suns,Oklahoma City Thunder
Sun Jan 7 2018,San Antonio Spurs,110,Portland Trail Blazers,111,H,Portland Trail Blazers,San Antonio Spurs
Mon Jan 8 2018,Toronto Raptors,114,Brooklyn Nets,113,V,Toronto Raptors,Brooklyn Nets
Mon Jan 8 2018,Houston Rockets,116,Chicago Bulls,107,V,Houston Rockets,Chicago Bulls
Mon Jan 8 2018,Denver Nuggets,114,Golden State Warriors,124,H,Golden State Warriors,Denver Nuggets
Mon Jan 8 2018,Milwaukee Bucks,96,Indiana Pacers,109,H,Indiana Pacers,Milwaukee Bucks
Mon Jan 8 2018,Atlanta Hawks,107,Los Angeles Clippers,108,H,Los Angeles Clippers,Atlanta Hawks
Mon Jan 8 2018,Cleveland Cavaliers,99,Minnesota Timberwolves,127,H,Minnesota Timberwolves,Cleveland Cavaliers
Mon Jan 8 2018,Detroit Pistons,109,New Orleans Pelicans,112,H,New Orleans Pelicans,Detroit Pistons
Mon Jan 8 2018,San Antonio Spurs,107,Sacramento Kings,100,V,San Antonio Spurs,Sacramento Kings
Tue Jan 9 2018,Orlando Magic,99,Dallas Mavericks,114,H,Dallas Mavericks,Orlando Magic
Tue Jan 9 2018,Sacramento Kings,86,Los Angeles Lakers,99,H,Los Angeles Lakers,Sacramento Kings
Tue Jan 9 2018,Portland Trail Blazers,117,Oklahoma City Thunder,106,V,Portland Trail Blazers,Oklahoma City Thunder
Tue Jan 9 2018,Miami Heat,90,Toronto Raptors,89,V,Miami Heat,Toronto Raptors
Wed Jan 10 2018,Detroit Pistons,114,Brooklyn Nets,80,V,Detroit Pistons,Brooklyn Nets
Wed Jan 10 2018,Dallas Mavericks,115,Charlotte Hornets,111,V,Dallas Mavericks,Charlotte Hornets
Wed Jan 10 2018,Atlanta Hawks,110,Denver Nuggets,97,V,Atlanta Hawks,Denver Nuggets
Wed Jan 10 2018,Los Angeles Clippers,125,Golden State Warriors,106,V,Los Angeles Clippers,Golden State Warriors
Wed Jan 10 2018,Portland Trail Blazers,112,Houston Rockets,121,H,Houston Rockets,Portland Trail Blazers
Wed Jan 10 2018,Miami Heat,114,Indiana Pacers,106,V,Miami Heat,Indiana Pacers
Wed Jan 10 2018,New Orleans Pelicans,102,Memphis Grizzlies,105,H,Memphis Grizzlies,New Orleans Pelicans
Wed Jan 10 2018,Orlando Magic,103,Milwaukee Bucks,110,H,Milwaukee Bucks,Orlando Magic
Wed Jan 10 2018,Oklahoma City Thunder,88,Minnesota Timberwolves,104,H,Minnesota Timberwolves,Oklahoma City Thunder
Wed Jan 10 2018,Chicago Bulls,122,New York Knicks,119,V,Chicago Bulls,New York Knicks
Wed Jan 10 2018,Utah Jazz,107,Washington Wizards,104,V,Utah Jazz,Washington Wizards
Thu Jan 11 2018,San Antonio Spurs,81,Los Angeles Lakers,93,H,Los Angeles Lakers,San Antonio Spurs
Thu Jan 11 2018,Boston Celtics,114,Philadelphia 76ers,103,V,Boston Celtics,Philadelphia 76ers
Thu Jan 11 2018,Los Angeles Clippers,121,Sacramento Kings,115,V,Los Angeles Clippers,Sacramento Kings
Thu Jan 11 2018,Cleveland Cavaliers,99,Toronto Raptors,133,H,Toronto Raptors,Cleveland Cavaliers
Fri Jan 12 2018,Brooklyn Nets,110,Atlanta Hawks,105,V,Brooklyn Nets,Atlanta Hawks
Fri Jan 12 2018,Utah Jazz,88,Charlotte Hornets,99,H,Charlotte Hornets,Utah Jazz
Fri Jan 12 2018,Memphis Grizzlies,78,Denver Nuggets,87,H,Denver Nuggets,Memphis Grizzlies
Fri Jan 12 2018,Cleveland Cavaliers,95,Indiana Pacers,97,H,Indiana Pacers,Cleveland Cavaliers
Fri Jan 12 2018,Golden State Warriors,108,Milwaukee Bucks,94,V,Golden State Warriors,Milwaukee Bucks
Fri Jan 12 2018,New York Knicks,108,Minnesota Timberwolves,118,H,Minnesota Timberwolves,New York Knicks
Fri Jan 12 2018,Portland Trail Blazers,113,New Orleans Pelicans,119,H,New Orleans Pelicans,Portland Trail Blazers
Fri Jan 12 2018,Houston Rockets,112,Phoenix Suns,95,V,Houston Rockets,Phoenix Suns
Fri Jan 12 2018,Orlando Magic,119,Washington Wizards,125,H,Washington Wizards,Orlando Magic
Sat Jan 13 2018,Detroit Pistons,105,Chicago Bulls,107,H,Chicago Bulls,Detroit Pistons
Sat Jan 13 2018,Oklahoma City Thunder,101,Charlotte Hornets,91,V,Oklahoma City Thunder,Charlotte Hornets
Sat Jan 13 2018,Los Angeles Lakers,107,Dallas Mavericks,101,V,Los Angeles Lakers,Dallas Mavericks
Sat Jan 13 2018,Sacramento Kings,105,Los Angeles Clippers,126,H,Los Angeles Clippers,Sacramento Kings
Sat Jan 13 2018,Denver Nuggets,80,San Antonio Spurs,112,H,San Antonio Spurs,Denver Nuggets
Sat Jan 13 2018,Golden State Warriors,127,Toronto Raptors,125,V,Golden State Warriors,Toronto Raptors
Sat Jan 13 2018,Brooklyn Nets,113,Washington Wizards,119,H,Washington Wizards,Brooklyn Nets
Sun Jan 14 2018,Milwaukee Bucks,79,Miami Heat,97,H,Miami Heat,Milwaukee Bucks
Sun Jan 14 2018,Portland Trail Blazers,103,Minnesota Timberwolves,120,H,Minnesota Timberwolves,Portland Trail Blazers
Sun Jan 14 2018,New Orleans Pelicans,123,New York Knicks,118,V,New Orleans Pelicans,New York Knicks
Sun Jan 14 2018,Indiana Pacers,120,Phoenix Suns,97,V,Indiana Pacers,Phoenix Suns
Mon Jan 15 2018,San Antonio Spurs,99,Atlanta Hawks,102,H,Atlanta Hawks,San Antonio Spurs
Mon Jan 15 2018,New York Knicks,119,Brooklyn Nets,104,V,New York Knicks,Brooklyn Nets
Mon Jan 15 2018,Miami Heat,111,Chicago Bulls,119,H,Chicago Bulls,Miami Heat
Mon Jan 15 2018,Golden State Warriors,118,Cleveland Cavaliers,108,V,Golden State Warriors,Cleveland Cavaliers
Mon Jan 15 2018,Charlotte Hornets,118,Detroit Pistons,107,V,Charlotte Hornets,Detroit Pistons
Mon Jan 15 2018,Houston Rockets,102,Los Angeles Clippers,113,H,Los Angeles Clippers,Houston Rockets
Mon Jan 15 2018,Los Angeles Lakers,114,Memphis Grizzlies,123,H,Memphis Grizzlies,Los Angeles Lakers
Mon Jan 15 2018,Sacramento Kings,88,Oklahoma City Thunder,95,H,Oklahoma City Thunder,Sacramento Kings
Mon Jan 15 2018,Toronto Raptors,111,Philadelphia 76ers,117,H,Philadelphia 76ers,Toronto Raptors
Mon Jan 15 2018,Indiana Pacers,109,Utah Jazz,94,V,Indiana Pacers,Utah Jazz
Mon Jan 15 2018,Milwaukee Bucks,104,Washington Wizards,95,V,Milwaukee Bucks,Washington Wizards
Tue Jan 16 2018,New Orleans Pelicans,116,Boston Celtics,113,V,New Orleans Pelicans,Boston Celtics
Tue Jan 16 2018,Dallas Mavericks,102,Denver Nuggets,105,H,Denver Nuggets,Dallas Mavericks
Tue Jan 16 2018,Minnesota Timberwolves,102,Orlando Magic,108,H,Orlando Magic,Minnesota Timberwolves
Tue Jan 16 2018,Phoenix Suns,111,Portland Trail Blazers,118,H,Portland Trail Blazers,Phoenix Suns
Wed Jan 17 2018,New Orleans Pelicans,93,Atlanta Hawks,94,H,Atlanta Hawks,New Orleans Pelicans
Wed Jan 17 2018,San Antonio Spurs,100,Brooklyn Nets,95,V,San Antonio Spurs,Brooklyn Nets
Wed Jan 17 2018,Golden State Warriors,119,Chicago Bulls,112,V,Golden State Warriors,Chicago Bulls
Wed Jan 17 2018,Washington Wizards,109,Charlotte Hornets,133,H,Charlotte Hornets,Washington Wizards
Wed Jan 17 2018,Denver Nuggets,104,Los Angeles Clippers,109,H,Los Angeles Clippers,Denver Nuggets
Wed Jan 17 2018,New York Knicks,99,Memphis Grizzlies,105,H,Memphis Grizzlies,New York Knicks
Wed Jan 17 2018,Miami Heat,106,Milwaukee Bucks,101,V,Miami Heat,Milwaukee Bucks
Wed Jan 17 2018,Los Angeles Lakers,90,Oklahoma City Thunder,114,H,Oklahoma City Thunder,Los Angeles Lakers
Wed Jan 17 2018,Utah Jazz,120,Sacramento Kings,105,V,Utah Jazz,Sacramento Kings
Wed Jan 17 2018,Detroit Pistons,91,Toronto Raptors,96,H,Toronto Raptors,Detroit Pistons
Thu Jan 18 2018,Philadelphia 76ers,89,Boston Celtics,80,V,Philadelphia 76ers,Boston Celtics
Thu Jan 18 2018,Orlando Magic,103,Cleveland Cavaliers,104,H,Cleveland Cavaliers,Orlando Magic
Thu Jan 18 2018,Minnesota Timberwolves,98,Houston Rockets,116,H,Houston Rockets,Minnesota Timberwolves
Thu Jan 18 2018,Indiana Pacers,86,Portland Trail Blazers,100,H,Portland Trail Blazers,Indiana Pacers
Fri Jan 19 2018,Miami Heat,95,Brooklyn Nets,101,H,Brooklyn Nets,Miami Heat
Fri Jan 19 2018,Phoenix Suns,108,Denver Nuggets,100,V,Phoenix Suns,Denver Nuggets
Fri Jan 19 2018,Washington Wizards,122,Detroit Pistons,112,V,Washington Wizards,Detroit Pistons
Fri Jan 19 2018,Indiana Pacers,86,Los Angeles Lakers,99,H,Los Angeles Lakers,Indiana Pacers
Fri Jan 19 2018,Sacramento Kings,88,Memphis Grizzlies,106,H,Memphis Grizzlies,Sacramento Kings
Fri Jan 19 2018,San Antonio Spurs,83,Toronto Raptors,86,H,Toronto Raptors,San Antonio Spurs
Fri Jan 19 2018,New York Knicks,117,Utah Jazz,115,V,New York Knicks,Utah Jazz
Sat Jan 20 2018,Chicago Bulls,113,Atlanta Hawks,97,V,Chicago Bulls,Atlanta Hawks
Sat Jan 20 2018,Miami Heat,106,Charlotte Hornets,105,V,Miami Heat,Charlotte Hornets
Sat Jan 20 2018,Oklahoma City Thunder,148,Cleveland Cavaliers,124,V,Oklahoma City Thunder,Cleveland Cavaliers
Sat Jan 20 2018,Golden State Warriors,108,Houston Rockets,116,H,Houston Rockets,Golden State Warriors
Sat Jan 20 2018,Toronto Raptors,109,Minnesota Timberwolves,115,H,Minnesota Timberwolves,Toronto Raptors
Sat Jan 20 2018,Memphis Grizzlies,104,New Orleans Pelicans,111,H,New Orleans Pelicans,Memphis Grizzlies
Sat Jan 20 2018,Milwaukee Bucks,94,Philadelphia 76ers,116,H,Philadelphia 76ers,Milwaukee Bucks
Sat Jan 20 2018,Dallas Mavericks,108,Portland Trail Blazers,117,H,Portland Trail Blazers,Dallas Mavericks
Sat Jan 20 2018,Los Angeles Clippers,113,Utah Jazz,125,H,Utah Jazz,Los Angeles Clippers
Sun Jan 21 2018,Orlando Magic,103,Boston Celtics,95,V,Orlando Magic,Boston Celtics
Sun Jan 21 2018,Brooklyn Nets,101,Detroit Pistons,100,V,Brooklyn Nets,Detroit Pistons
Sun Jan 21 2018,New York Knicks,107,Los Angeles Lakers,127,H,Los Angeles Lakers,New York Knicks
Sun Jan 21 2018,Indiana Pacers,94,San Antonio Spurs,86,V,Indiana Pacers,San Antonio Spurs
Mon Jan 22 2018,Utah Jazz,90,Atlanta Hawks,104,H,Atlanta Hawks,Utah Jazz
Mon Jan 22 2018,Sacramento Kings,107,Charlotte Hornets,112,H,Charlotte Hornets,Sacramento Kings
Mon Jan 22 2018,Washington Wizards,75,Dallas Mavericks,98,H,Dallas Mavericks,Washington Wizards
Mon Jan 22 2018,Portland Trail Blazers,101,Denver Nuggets,104,H,Denver Nuggets,Portland Trail Blazers
Mon Jan 22 2018,Miami Heat,90,Houston Rockets,99,H,Houston Rockets,Miami Heat
Mon Jan 22 2018,Minnesota Timberwolves,126,Los Angeles Clippers,118,V,Minnesota Timberwolves,Los Angeles Clippers
Mon Jan 22 2018,Philadelphia 76ers,101,Memphis Grizzlies,105,H,Memphis Grizzlies,Philadelphia 76ers
Mon Jan 22 2018,Phoenix Suns,105,Milwaukee Bucks,109,H,Milwaukee Bucks,Phoenix Suns
Mon Jan 22 2018,Chicago Bulls,128,New Orleans Pelicans,132,H,New Orleans Pelicans,Chicago Bulls
Tue Jan 23 2018,New York Knicks,112,Golden State Warriors,123,H,Golden State Warriors,New York Knicks
Tue Jan 23 2018,Boston Celtics,107,Los Angeles Lakers,108,H,Los Angeles Lakers,Boston Celtics
Tue Jan 23 2018,Brooklyn Nets,108,Oklahoma City Thunder,109,H,Oklahoma City Thunder,Brooklyn Nets
Tue Jan 23 2018,Sacramento Kings,105,Orlando Magic,99,V,Sacramento Kings,Orlando Magic
Tue Jan 23 2018,Cleveland Cavaliers,102,San Antonio Spurs,114,H,San Antonio Spurs,Cleveland Cavaliers
Wed Jan 24 2018,Toronto Raptors,108,Atlanta Hawks,93,V,Toronto Raptors,Atlanta Hawks
Wed Jan 24 2018,New Orleans Pelicans,101,Charlotte Hornets,96,V,New Orleans Pelicans,Charlotte Hornets
Wed Jan 24 2018,Houston Rockets,104,Dallas Mavericks,97,V,Houston Rockets,Dallas Mavericks
Wed Jan 24 2018,Utah Jazz,98,Detroit Pistons,95,V,Utah Jazz,Detroit Pistons
Wed Jan 24 2018,Phoenix Suns,101,Indiana Pacers,116,H,Indiana Pacers,Phoenix Suns
Wed Jan 24 2018,Boston Celtics,113,Los Angeles Clippers,102,V,Boston Celtics,Los Angeles Clippers
Wed Jan 24 2018,San Antonio Spurs,108,Memphis Grizzlies,85,V,San Antonio Spurs,Memphis Grizzlies
Wed Jan 24 2018,Chicago Bulls,101,Philadelphia 76ers,115,H,Philadelphia 76ers,Chicago Bulls
Wed Jan 24 2018,Minnesota Timberwolves,114,Portland Trail Blazers,123,H,Portland Trail Blazers,Minnesota Timberwolves
Thu Jan 25 2018,New York Knicks,118,Denver Nuggets,130,H,Denver Nuggets,New York Knicks
Thu Jan 25 2018,Minnesota Timberwolves,113,Golden State Warriors,126,H,Golden State Warriors,Minnesota Timberwolves
Thu Jan 25 2018,Sacramento Kings,89,Miami Heat,88,V,Sacramento Kings,Miami Heat
Thu Jan 25 2018,Washington Wizards,112,Oklahoma City Thunder,121,H,Oklahoma City Thunder,Washington Wizards
Fri Jan 26 2018,Los Angeles Lakers,108,Chicago Bulls,103,V,Los Angeles Lakers,Chicago Bulls
Fri Jan 26 2018,Atlanta Hawks,110,Charlotte Hornets,121,H,Charlotte Hornets,Atlanta Hawks
Fri Jan 26 2018,Indiana Pacers,108,Cleveland Cavaliers,115,H,Cleveland Cavaliers,Indiana Pacers
Fri Jan 26 2018,Portland Trail Blazers,107,Dallas Mavericks,93,V,Portland Trail Blazers,Dallas Mavericks
Fri Jan 26 2018,Los Angeles Clippers,109,Memphis Grizzlies,100,V,Los Angeles Clippers,Memphis Grizzlies
Fri Jan 26 2018,Brooklyn Nets,91,Milwaukee Bucks,116,H,Milwaukee Bucks,Brooklyn Nets
Fri Jan 26 2018,Houston Rockets,113,New Orleans Pelicans,115,H,New Orleans Pelicans,Houston Rockets
Fri Jan 26 2018,New York Knicks,107,Phoenix Suns,85,V,New York Knicks,Phoenix Suns
Fri Jan 26 2018,Philadelphia 76ers,97,San Antonio Spurs,78,V,Philadelphia 76ers,San Antonio Spurs
Fri Jan 26 2018,Utah Jazz,97,Toronto Raptors,93,V,Utah Jazz,Toronto Raptors
Sat Jan 27 2018,Washington Wizards,129,Atlanta Hawks,104,V,Washington Wizards,Atlanta Hawks
Sat Jan 27 2018,Dallas Mavericks,89,Denver Nuggets,91,H,Denver Nuggets,Dallas Mavericks
Sat Jan 27 2018,Oklahoma City Thunder,121,Detroit Pistons,108,V,Oklahoma City Thunder,Detroit Pistons
Sat Jan 27 2018,Boston Celtics,105,Golden State Warriors,109,H,Golden State Warriors,Boston Celtics
Sat Jan 27 2018,Orlando Magic,112,Indiana Pacers,114,H,Indiana Pacers,Orlando Magic
Sat Jan 27 2018,Charlotte Hornets,91,Miami Heat,95,H,Miami Heat,Charlotte Hornets
Sat Jan 27 2018,Brooklyn Nets,97,Minnesota Timberwolves,111,H,Minnesota Timberwolves,Brooklyn Nets
Sun Jan 28 2018,Milwaukee Bucks,110,Chicago Bulls,96,V,Milwaukee Bucks,Chicago Bulls
Sun Jan 28 2018,Detroit Pistons,104,Cleveland Cavaliers,121,H,Cleveland Cavaliers,Detroit Pistons
Sun Jan 28 2018,Phoenix Suns,102,Houston Rockets,113,H,Houston Rockets,Phoenix Suns
Sun Jan 28 2018,Los Angeles Clippers,112,New Orleans Pelicans,103,V,Los Angeles Clippers,New Orleans Pelicans
Sun Jan 28 2018,Philadelphia 76ers,112,Oklahoma City Thunder,122,H,Oklahoma City Thunder,Philadelphia 76ers
