Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Sat Oct 28 2017,Detroit Pistons,95,Los Angeles Clippers,87,V,Detroit Pistons,Los Angeles Clippers
Sat Oct 28 2017,Houston Rockets,89,Memphis Grizzlies,103,H,Memphis Grizzlies,Houston Rockets
Sat Oct 28 2017,Boston Celtics,96,Miami Heat,90,V,Boston Celtics,Miami Heat
Sat Oct 28 2017,Cleveland Cavaliers,101,New Orleans Pelicans,123,H,New Orleans Pelicans,Cleveland Cavaliers
Sat Oct 28 2017,Phoenix Suns,107,Portland Trail Blazers,114,H,Portland Trail Blazers,Phoenix Suns
Sat Oct 28 2017,Los Angeles Lakers,81,Utah Jazz,96,H,Utah Jazz,Los Angeles Lakers
Sun Oct 29 2017,Milwaukee Bucks,117,Atlanta Hawks,106,V,Milwaukee Bucks,Atlanta Hawks
Sun Oct 29 2017,Denver Nuggets,124,Brooklyn Nets,111,V,Denver Nuggets,Brooklyn Nets
Sun Oct 29 2017,Orlando Magic,113,Charlotte Hornets,120,H,Charlotte Hornets,Orlando Magic
Sun Oct 29 2017,New York Knicks,114,Cleveland Cavaliers,95,V,New York Knicks,Cleveland Cavaliers
Sun Oct 29 2017,Detroit Pistons,115,Golden State Warriors,107,V,Detroit Pistons,Golden State Warriors
Sun Oct 29 2017,San Antonio Spurs,94,Indiana Pacers,97,H,Indiana Pacers,San Antonio Spurs
Sun Oct 29 2017,Washington Wizards,110,Sacramento Kings,83,V,Washington Wizards,Sacramento Kings
Mon Oct 30 2017,San Antonio Spurs,94,Boston Celtics,108,H,Boston Celtics,San Antonio Spurs
Mon Oct 30 2017,Philadelphia 76ers,115,Houston Rockets,107,V,Philadelphia 76ers,Houston Rockets
Mon Oct 30 2017,Golden State Warriors,141,Los Angeles Clippers,113,V,Golden State Warriors,Los Angeles Clippers
Mon Oct 30 2017,Charlotte Hornets,104,Memphis Grizzlies,99,V,Charlotte Hornets,Memphis Grizzlies
Mon Oct 30 2017,Minnesota Timberwolves,125,Miami Heat,122,V,Minnesota Timberwolves,Miami Heat
Mon Oct 30 2017,Orlando Magic,115,New Orleans Pelicans,99,V,Orlando Magic,New Orleans Pelicans
Mon Oct 30 2017,Denver Nuggets,110,New York Knicks,116,H,New York Knicks,Denver Nuggets
Mon Oct 30 2017,Toronto Raptors,99,Portland Trail Blazers,85,V,Toronto Raptors,Portland Trail Blazers
Mon Oct 30 2017,Dallas Mavericks,89,Utah Jazz,104,H,Utah Jazz,Dallas Mavericks
Tue Oct 31 2017,Phoenix Suns,122,Brooklyn Nets,114,V,Phoenix Suns,Brooklyn Nets
Tue Oct 31 2017,Sacramento Kings,83,Indiana Pacers,101,H,Indiana Pacers,Sacramento Kings
Tue Oct 31 2017,Detroit Pistons,93,Los Angeles Lakers,113,H,Los Angeles Lakers,Detroit Pistons
Tue Oct 31 2017,Oklahoma City Thunder,110,Milwaukee Bucks,91,V,Oklahoma City Thunder,Milwaukee Bucks
Wed Nov 1 2017,Sacramento Kings,86,Boston Celtics,113,H,Boston Celtics,Sacramento Kings
Wed Nov 1 2017,Milwaukee Bucks,121,Charlotte Hornets,126,H,Charlotte Hornets,Milwaukee Bucks
Wed Nov 1 2017,Indiana Pacers,124,Cleveland Cavaliers,107,V,Indiana Pacers,Cleveland Cavaliers
Wed Nov 1 2017,Toronto Raptors,111,Denver Nuggets,129,H,Denver Nuggets,Toronto Raptors
Wed Nov 1 2017,Dallas Mavericks,98,Los Angeles Clippers,119,H,Los Angeles Clippers,Dallas Mavericks
Wed Nov 1 2017,Orlando Magic,101,Memphis Grizzlies,99,V,Orlando Magic,Memphis Grizzlies
Wed Nov 1 2017,Chicago Bulls,91,Miami Heat,97,H,Miami Heat,Chicago Bulls
Wed Nov 1 2017,Minnesota Timberwolves,104,New Orleans Pelicans,98,V,Minnesota Timberwolves,New Orleans Pelicans
Wed Nov 1 2017,Houston Rockets,119,New York Knicks,97,V,Houston Rockets,New York Knicks
Wed Nov 1 2017,Atlanta Hawks,109,Philadelphia 76ers,119,H,Philadelphia 76ers,Atlanta Hawks
Wed Nov 1 2017,Portland Trail Blazers,103,Utah Jazz,112,H,Utah Jazz,Portland Trail Blazers
Wed Nov 1 2017,Phoenix Suns,122,Washington Wizards,116,V,Phoenix Suns,Washington Wizards
Thu Nov 2 2017,Los Angeles Lakers,110,Portland Trail Blazers,113,H,Portland Trail Blazers,Los Angeles Lakers
Thu Nov 2 2017,Golden State Warriors,112,San Antonio Spurs,92,V,Golden State Warriors,San Antonio Spurs
Fri Nov 3 2017,Houston Rockets,119,Atlanta Hawks,104,V,Houston Rockets,Atlanta Hawks
Fri Nov 3 2017,New Orleans Pelicans,99,Dallas Mavericks,94,V,New Orleans Pelicans,Dallas Mavericks
Fri Nov 3 2017,Miami Heat,94,Denver Nuggets,95,H,Denver Nuggets,Miami Heat
Fri Nov 3 2017,Milwaukee Bucks,96,Detroit Pistons,105,H,Detroit Pistons,Milwaukee Bucks
Fri Nov 3 2017,Brooklyn Nets,112,Los Angeles Lakers,124,H,Los Angeles Lakers,Brooklyn Nets
Fri Nov 3 2017,Phoenix Suns,107,New York Knicks,120,H,New York Knicks,Phoenix Suns
Fri Nov 3 2017,Boston Celtics,101,Oklahoma City Thunder,94,V,Boston Celtics,Oklahoma City Thunder
Fri Nov 3 2017,Chicago Bulls,105,Orlando Magic,83,V,Chicago Bulls,Orlando Magic
Fri Nov 3 2017,Indiana Pacers,110,Philadelphia 76ers,121,H,Philadelphia 76ers,Indiana Pacers
Fri Nov 3 2017,Charlotte Hornets,101,San Antonio Spurs,108,H,San Antonio Spurs,Charlotte Hornets
Fri Nov 3 2017,Toronto Raptors,109,Utah Jazz,100,V,Toronto Raptors,Utah Jazz
Fri Nov 3 2017,Cleveland Cavaliers,130,Washington Wizards,122,V,Cleveland Cavaliers,Washington Wizards
Sat Nov 4 2017,New Orleans Pelicans,96,Chicago Bulls,90,V,New Orleans Pelicans,Chicago Bulls
Sat Nov 4 2017,Golden State Warriors,127,Denver Nuggets,108,V,Golden State Warriors,Denver Nuggets
Sat Nov 4 2017,Sacramento Kings,99,Detroit Pistons,108,H,Detroit Pistons,Sacramento Kings
Sat Nov 4 2017,Memphis Grizzlies,113,Los Angeles Clippers,104,V,Memphis Grizzlies,Los Angeles Clippers
